feature,n_hidden,mae,rmse,mre_percent,r2,pearson
CO,1363,0.19322446726880263,0.24299072910105046,62.694633893881615,-0.9649381001859785,0.023665060844072567
NO,1373,9.130562188289991,19.31715037511443,46.10148505259081,0.07678681525556108,0.3921597904656054
NO2,1341,5.022830651110451,7.411502914316429,34.28207559025007,-0.12784300138420668,0.44644187305040045
NOX,1321,11.325772712033956,21.565122175290693,35.114214030504606,0.08445892488748497,0.4335971841237612
O3,1435,15.137506841907102,18.646747093035344,119.67192518199002,-0.08404785330507036,0.19673947531144295
PM10,1499,21.739877288523637,37.63061919253749,60.91882250117081,-0.0782706999049021,0.27338657447978787
PM2.5,1564,0.005620186088161254,0.006831129376924087,,,
PRS,1542,3.2275524411529264,4.238599900595795,0.4435308052435723,-0.10213589895491926,0.4895693656468195
RAINF,1466,0.26586268086997744,0.4246723994933786,100.94362222972552,-0.9718463581244292,-0.0019104142802239957
RH,1480,20.571988135415154,25.36612003138487,55.95899515570309,-0.30587107069521635,0.2172417226726363
SO2,189,2.0280428002120328,2.7096891657551923,44.976816209614846,-1.0547253653968225,-0.025435933747290664
SR,1364,2.345891066580223,3.0131282453465875,,-129.15849901493695,-0.1802430437297082
TOUT,1519,6.033479792574191,7.656597183155604,29.48088920132318,-0.007475637362389431,0.5620534020752644
WSR,1475,4.368366913876291,5.348972758287533,124.28681863781301,-0.072945346407564,0.16624322792455098
WDR,1551,71.58378570330366,91.37496957225727,77.82826200810302,0.0916469921089107,0.3785938227219369
