epoch,loss,reconstruction_loss,denoising_loss,validation_masked_mse
1.0,0.8356809325334502,0.08068770928898962,0.7549932279237886,0.017759419977664948
2.0,0.16791542019785904,0.022092868778400304,0.14582255196462318,0.017256508115679026
3.0,0.0285126794493053,0.0188708899133816,0.00964178971764518,0.018103839829564095
4.0,0.021542596517176164,0.017161429655261157,0.0043811670095637075,0.019063804298639297
5.0,0.018918323489587482,0.01648652555829868,0.002431797968200976,0.0194683987647295
6.0,0.017078232837886346,0.015399169108671387,0.0016790637490907458,0.020350522361695766
7.0,0.016033020188532223,0.014781058425220048,0.0012519616923272246,0.020415720529854298
8.0,0.014602679168669188,0.013575923583674722,0.0010267556488809243,0.0204705772921443
9.0,0.01309677497370214,0.01225482740598481,0.0008419475478415446,0.02049161959439516
10.0,0.012225572451403955,0.011470474916078695,0.0007550975324858616,0.02048354595899582
11.0,0.011915013262229721,0.011265718923291056,0.0006492943616538513,0.020852073095738888
12.0,0.011674494914165357,0.011027980232384146,0.0006465146207341515,0.02033939491957426
13.0,0.011450887475980491,0.010698556286714426,0.00075233112254021,0.02106692362576723
14.0,0.01122856328672752,0.010627188129214251,0.0006013751731299591,0.021487909369170666
15.0,0.0116920493906591,0.01054584207694705,0.0011462072533748409,0.020428824238479137
16.0,0.011201018512975879,0.010428839999182923,0.0007721784534557472,0.020781461149454117
17.0,0.01092324408180103,0.01044272670022598,0.00048051737731595227,0.021261241286993027
18.0,0.01079149523795378,0.010364846735284096,0.00042664845794916336,0.019744996912777424
19.0,0.010602232227783377,0.010211089580524258,0.00039114263093258003,0.019970936700701714
20.0,0.010598429365129006,0.01017148601936131,0.00042694335499573956,0.02004391886293888
21.0,0.010552660539382842,0.010116438767532022,0.0004362217555242795,0.02071317285299301
22.0,0.010363726445087573,0.0099364972855078,0.00042722913331533896,0.02120475098490715
23.0,0.010241841761077322,0.009797261346404145,0.00044458046791189145,0.020036419853568077
24.0,0.010438284087108403,0.00972262442838855,0.000715659697051728,0.01971533428877592
25.0,0.010269271959437103,0.009542048386320836,0.0007272235440124371,0.021251702681183815
26.0,0.009908957634030319,0.009469577452031577,0.0004393802359473051,0.019431627355515957
27.0,0.009894671077590162,0.009462711742011512,0.0004319593433869957,0.01864792127162218
28.0,0.009651529012111628,0.009274132822344943,0.00037739619544548234,0.019394660368561745
29.0,0.009531336427643531,0.009137517295596077,0.00039381907242009553,0.018665704876184464
30.0,0.009673853768262922,0.00914897286991884,0.0005248809799767758,0.019582693465054035
31.0,0.00948399698316324,0.009082192350633261,0.00040180463394967885,0.01882001105695963
32.0,0.009437060778642573,0.009110686959835088,0.0003263738031907961,0.019508786499500275
33.0,0.009356646457823312,0.009041070892679982,0.0003155755970865579,0.018955516628921032
34.0,0.009381351606329767,0.008932088183738836,0.0004492633736113132,0.018525063060224056
35.0,0.009585276291501231,0.009020315074339145,0.000564961268981101,0.019511090591549873
36.0,0.009697638963144727,0.00895577081956151,0.0007418681748165954,0.019048459827899933
37.0,0.009671313483722327,0.00887146182131113,0.0007998516957741231,0.018533337861299515
38.0,0.00951963551796791,0.008876947015978215,0.0006426886084671245,0.018860595300793648
39.0,0.009236890300199753,0.008721986422088088,0.0005149039441276705,0.01923053152859211
40.0,0.00927653209101863,0.008784010586124368,0.0004925215155420052,0.01835167594254017
41.0,0.009012797642953513,0.008682460251559571,0.0003303374119795768,0.018933997489511967
42.0,0.009010889158561462,0.008732179827170401,0.0002787093260671898,0.018575027585029602
43.0,0.00890658744724422,0.00862438297580655,0.00028220448953883225,0.01916841510683298
44.0,0.008885976699430769,0.008616765870190248,0.00026921084556705884,0.018519041128456593
45.0,0.008799100930734379,0.008488427813551047,0.0003106730788514563,0.018557575531303883
46.0,0.008767483313000056,0.00853011316460807,0.00023737014519766245,0.018224994651973248
47.0,0.008637968098699319,0.008415425900460743,0.0002225421410956897,0.018992353230714798
48.0,0.008686645558421932,0.008449790476844079,0.00023685502762928968,0.018114672042429447
49.0,0.008599321505554565,0.008308572069991653,0.00029074941391250256,0.01857796497642994
50.0,0.008567651075015708,0.008292611711090657,0.0002750393976429023,0.018871435895562172
