estacion,semana,ndvi_mediana,imagenes_utilizadas,pixeles_validos
NE2,2023-03-13,-0.02927855122834444,2,15684
NE2,2023-03-20,0.012548789381980896,4,31368
NE2,2023-03-27,,0,0
NE2,2023-04-03,-0.0273915259167552,2,15684
NE2,2023-04-10,,0,0
NE2,2023-04-17,0.03259638324379921,2,15684
NE2,2023-04-24,0.016601542942225933,4,31368
NE2,2023-05-01,,0,0
NE2,2023-05-08,0.0433797612786293,1,7842
NE2,2023-05-15,,0,0
NE2,2023-05-22,0.006974914111196995,2,15684
NE2,2023-05-29,0.056653596460819244,3,23526
NE2,2023-06-05,0.057360608130693436,2,15684
NE2,2023-06-12,0.06332378089427948,3,23526
NE2,2023-06-19,0.05049719661474228,2,15684
NE2,2023-06-26,0.04785611853003502,2,15684
NE2,2023-07-03,0.022982265800237656,3,23526
NE2,2023-07-10,0.06187425181269646,2,15684
NE2,2023-07-17,0.04801373556256294,2,15684
NE2,2023-07-24,0.04659884050488472,2,15684
NE2,2023-07-31,0.040341269224882126,2,15684
NE2,2023-08-07,0.03921704739332199,4,31368
NE2,2023-08-14,0.03693273104727268,2,15684
NE2,2023-08-21,0.018248964101076126,2,15684
NE2,2023-08-28,0.040585460141301155,2,15684
NE2,2023-09-04,0.03510751947760582,2,15684
NE2,2023-09-11,0.036129239946603775,4,31368
NE2,2023-09-18,0.045230260118842125,2,15684
NE2,2023-09-25,0.043428584933280945,3,23526
NE2,2023-10-02,,0,0
NE2,2023-10-09,0.03230299986898899,2,15684
NE2,2023-10-16,0.047958023846149445,3,23526
NE2,2023-10-23,-0.043954525142908096,2,15684
NE2,2023-10-30,0.06477690488100052,2,15684
NE2,2023-11-06,,0,0
NE2,2023-11-13,-0.010241527575999498,2,15684
NE2,2023-11-20,0.010660836473107338,4,31368
NE2,2023-11-27,0.0618706438690424,2,15684
NE2,2023-12-04,0.06825266405940056,2,15684
NE2,2023-12-11,0.04883090406656265,1,7842
NE2,2023-12-18,0.040992602705955505,1,7842
NE2,2023-12-25,0.06345084309577942,1,7842
NE2,2024-01-01,-0.026487788185477257,1,7842
NE2,2024-01-08,0.07274208962917328,2,15684
NE2,2024-01-15,0.05319078639149666,1,7842
NE2,2024-01-22,,0,0
NE2,2024-01-29,0.056865617632865906,2,15684
NE2,2024-02-05,0.05183994397521019,1,7842
NE2,2024-02-12,0.026875832118093967,2,15684
NE2,2024-02-19,0.047730110585689545,1,7842
NE2,2024-02-26,0.05857514217495918,1,7842
NE2,2024-03-04,0.0442027673125267,1,7842
NE2,2024-03-11,,0,0
NE2,2024-03-18,0.06734572350978851,1,7842
NE2,2024-03-25,0.06402634084224701,1,7842
NE2,2024-04-01,0.06731051206588745,1,7842
NE2,2024-04-08,0.021079957019537687,2,15684
NE2,2024-04-15,,0,0
NE2,2024-04-22,0.01759744342416525,2,15684
NE2,2024-04-29,-0.008071545511484146,1,7842
NE2,2024-05-06,0.05814140662550926,1,7842
NE2,2024-05-13,0.053453873842954636,2,15684
NE2,2024-05-20,0.0476190485060215,1,7842
NE2,2024-05-27,0.007774416939355433,2,15684
NE2,2024-06-03,0.06359174102544785,2,15684
NE2,2024-06-10,0.05385955423116684,1,7842
NE2,2024-06-17,0.05555194616317749,1,7842
NE2,2024-06-24,0.06454502046108246,1,7842
NE2,2024-07-01,0.05769283510744572,2,15684
NE2,2024-07-08,,0,0
NE2,2024-07-15,,0,0
NE2,2024-07-22,0.07562017627060413,2,15684
NE2,2024-07-29,0.03969565033912659,1,7842
NE2,2024-08-05,0.03674239479005337,2,15684
NE2,2024-08-12,0.07568270713090897,1,7842
NE2,2024-08-19,0.04836646467447281,1,7842
NE2,2024-08-26,0.00399823859333992,2,15684
NE2,2024-09-02,,0,0
NE2,2024-09-09,0.013032659888267517,1,7842
NE2,2024-09-16,-0.019320692867040634,1,7842
NE2,2024-09-23,0.06108511611819267,1,7842
NE2,2024-09-30,0.06536911427974701,1,7842
NE2,2024-10-07,0.0717555433511734,1,7842
NE2,2024-10-14,0.047442689538002014,2,15684
NE2,2024-10-21,0.0731460303068161,1,7842
NE2,2024-10-28,0.06109723448753357,1,7842
NE2,2024-11-04,0.06578001379966736,1,7842
NE2,2024-11-11,0.036328621208667755,1,7842
NE2,2024-11-18,0.06586529314517975,2,15684
NE2,2024-11-25,,0,0
NE2,2024-12-02,-0.018507808446884155,1,7842
NE2,2024-12-09,0.052149444818496704,2,15684
NE2,2024-12-16,0.0008904719725251198,1,7842
NE2,2024-12-23,0.0669928714632988,2,15684
NE2,2024-12-30,0.007864352315664291,1,7842
NE2,2025-01-06,,0,0
NE2,2025-01-13,0.05272977240383625,2,15684
NE2,2025-01-20,0.05725054815411568,1,7842
NE2,2025-01-27,0.05132196471095085,1,7842
NE2,2025-02-03,0.05124105513095856,1,7842
NE2,2025-02-10,,0,0
NE2,2025-02-17,-0.010396507568657398,1,7842
NE2,2025-02-24,0.04114999994635582,1,7842
NE2,2025-03-03,0.06293962150812149,2,15684
NE2,2025-03-10,0.0669371634721756,1,7842
NE2,2025-03-17,0.06100466102361679,2,15684
NE2,2025-03-24,0.04675470106303692,2,15684
NE2,2025-03-31,0.0732196569442749,1,7842
NE2,2025-04-07,0.06418262422084808,3,23526
NE2,2025-04-14,0.05407024919986725,1,7842
NE2,2025-04-21,-0.050267379730939865,1,7842
NE2,2025-04-28,0.04766892455518246,2,15684
NE2,2025-05-05,-0.022959183901548386,1,7842
NE2,2025-05-12,0.004845958203077316,2,15684
NE2,2025-05-19,0.04020322114229202,2,15684
NE2,2025-05-26,-0.04415584355592728,1,7842
NE2,2025-06-02,0.03413519263267517,2,15684
NE2,2025-06-09,0.03258493822067976,2,15684
NE2,2025-06-16,0.04744700342416763,1,7842
NE2,2025-06-23,0.030219669453799725,2,15684
NE2,2025-06-30,,0,0
NE2,2025-07-07,0.035104699432849884,2,15684
NE2,2025-07-14,0.04135886952280998,2,15684
NE2,2025-07-21,0.026205630972981453,2,15684
NE2,2025-07-28,0.04130396991968155,1,7842
NE2,2025-08-04,0.041311921551823616,2,15684
NE2,2025-08-11,0.03408188000321388,2,15684
NE2,2025-08-18,0.035155899822711945,1,7842
NE2,2025-08-25,0.042883165180683136,2,15684
NE2,2025-09-01,0.04418182000517845,1,7842
NE2,2025-09-08,0.01482841931283474,1,7842
NE2,2025-09-15,-0.0014987997710704803,2,15684
NE2,2025-09-22,0.05300690233707428,1,7842
NE2,2025-09-29,0.04852844774723053,1,7842
NE2,2025-10-06,0.0034337957622483373,2,15684
NE2,2025-10-13,0.02535305730998516,1,7842
NE2,2025-10-20,0.04885074496269226,2,15684
NE2,2025-10-27,0.06321427971124649,2,15684
NE2,2025-11-03,0.05132122337818146,2,15684
NE2,2025-11-10,0.05640255659818649,2,15684
NE2,2025-11-17,-0.031957659870386124,1,7842
NE2,2025-11-24,0.05149327218532562,2,15684
NE2,2025-12-01,0.03361010551452637,1,7842
NE2,2025-12-08,0.00369923934340477,2,15684
NE2,2025-12-15,0.06071871519088745,1,7842
NE2,2025-12-22,0.03713109344244003,2,15684
NE2,2025-12-29,,0,0
NE3,2021-01-04,0.14872441394254565,2,15690
NE3,2021-01-11,0.31933173537254333,1,7845
NE3,2021-01-18,-0.003552397945895791,1,7845
NE3,2021-01-25,0.02467685006558895,1,7845
NE3,2021-02-01,0.24695776402950287,1,7845
NE3,2021-02-08,0.10483516566455364,2,15690
NE3,2021-02-15,-0.00856793113052845,1,7845
NE3,2021-02-22,0.043501675594598055,2,15690
NE3,2021-03-01,0.1945701390504837,1,7845
NE3,2021-03-08,0.08381170779466629,1,7845
NE3,2021-03-15,0.18240740150213242,2,15690
NE3,2021-03-22,0.19646240770816803,1,7845
NE3,2021-03-29,0.2002495378255844,1,7845
NE3,2021-04-05,0.20914286375045776,1,7845
NE3,2021-04-12,0.13393756747245789,1,7845
NE3,2021-04-19,0.1726556494832039,2,15690
NE3,2021-04-26,0.2021089643239975,1,7845
NE3,2021-05-03,0.2091888040304184,2,15690
NE3,2021-05-10,-0.020671140402555466,1,7845
